PG.ProteinGroups,PG.Genes,PG.Organisms,[1] oecf4_20240822_Exp61_LTED_DMSO_rep1_full.raw.PG.Quantity,[2] oecf4_20240822_Exp61_LTED_DMSO_rep2_full.raw.PG.Quantity,[3] oecf4_20240822_Exp61_LTED_DMSO_rep3_full.raw.PG.Quantity,[4] oecf4_20240822_Exp61_LTED_inh_rep1_full.raw.PG.Quantity,[5] oecf4_20240822_Exp61_LTED_inh_rep2_full.raw.PG.Quantity,[6] oecf4_20240822_Exp61_LTED_inh_rep3_full.raw.PG.Quantity,[7] oecf4_20240822_Exp61_TAMR_DMSO_rep1_full.raw.PG.Quantity,[8] oecf4_20240822_Exp61_TAMR_DMSO_rep2_full.raw.PG.Quantity,[9] oecf4_20240822_Exp61_TAMR_DMSO_rep3_full.raw.PG.Quantity,[10] oecf4_20240822_Exp61_TAMR_inh_rep1_full.raw.PG.Quantity,[11] oecf4_20240822_Exp61_TAMR_inh_rep2_full.raw.PG.Quantity,[12] oecf4_20240822_Exp61_TAMR_inh_rep3_full.raw.PG.Quantity,[13] oecf4_20240822_Exp61_WT_DMSO_rep1_full.raw.PG.Quantity,[14] oecf4_20240822_Exp61_WT_DMSO_rep2_full.raw.PG.Quantity,[15] oecf4_20240822_Exp61_WT_DMSO_rep3_full.raw.PG.Quantity,[16] oecf4_20240822_Exp61_WT_inh_rep1_full.raw.PG.Quantity,[17] oecf4_20240822_Exp61_WT_inh_rep2_full.raw.PG.Quantity,[18] oecf4_20240822_Exp61_WT_inh_rep3_full.raw.PG.Quantity
Q96J02,ITCH,Homo sapiens,287271.5,270637.03125,207774.71875,264160.78125,329781.5,215947.140625,267771.21875,239039.25,249485.125,269745.34375,250808.15625,336918.96875,464903.9375,355374.40625,338882,482743.5,385102.625,315175.75
Q96J42,TXNDC15,Homo sapiens,233820.875,286564.84375,268385.0625,286148.28125,323573.03125,208423.375,229266.609375,269499.59375,208552.859375,237908.84375,223727.28125,216535.734375,339964.9375,218425.140625,260506.9375,267291.625,254886.53125,201252.6875
Q96JB1,DNAH8,Homo sapiens,748511.25,909684.875,NaN,715478.375,1007968.9375,380046.6875,418537.96875,442786.59375,NaN,496154.96875,447847.09375,484476.75,745220.25,552141.6875,428821.90625,735950.3125,340372.5,435322.9375
Q96JB2,COG3,Homo sapiens,1253182.625,1266912.375,1078060.25,1139787.75,1428300.625,989467.1875,1027397.8125,1000762.5625,1196920.5,1043567.875,993142.9375,1413516.125,1632420.625,1190977.125,1051115.125,1531650.125,1233193.125,1025472.625
Q96JB5,CDK5RAP3,Homo sapiens,1003464.375,1031590.4375,988152.9375,962457.0625,1189449.625,790173.75,856287.5625,716600.5625,931684.9375,861398.125,783555.5,1108196.625,1095840.375,778539.375,606077.125,1002752.75,794706.0625,640555.5
Q96JC1,VPS39,Homo sapiens,613746.4375,636990.6875,562073.9375,589445,750638.25,493474.46875,330214.5,321651.25,393041.90625,338455,337944.71875,476343.25,656455.125,478505.8125,417003.125,595848.1875,528458.5,433911.90625
Q96JC9,EAF1,Homo sapiens,65551.2421875,82742.8984375,NaN,70824.0390625,98253.5546875,62935.03125,76327.515625,90160.3203125,78069.8203125,86905.2578125,91432.3203125,77830.765625,100190.9296875,79170.109375,78787.2890625,78198.6875,67764.3125,60540.63671875
Q96JG6,VPS50,Homo sapiens,475664.53125,536210.4375,367976.09375,451160.9375,546407.375,394269.3125,269147.09375,241912.75,305091,248019.75,249029.453125,341618.21875,350952.40625,285371.875,282595.78125,343027.75,338267.625,273849.65625
Q96JG8,MAGED4B,Homo sapiens,13054.2734375,17720.421875,NaN,8452.697265625,13095.0830078125,8847.0087890625,13078.787109375,17770.80859375,16868.19140625,11753.81640625,7425.23681640625,14756.8154296875,55719.53125,36009.19921875,28005.640625,54206.51953125,36729.5859375,33040.98828125
Q96JH7,VCPIP1,Homo sapiens,290692.0625,282644.625,262521.53125,270352.25,322009.46875,235080.9375,178133.53125,185804.765625,215599.890625,187324.125,187802.734375,239555.890625,337366.5,262709.75,244275.9375,325229.5,276755,240287.046875
Q96JI7,SPG11,Homo sapiens,116472.8125,131568.671875,97042.546875,116333.84375,149004.5625,96886.2734375,110022.1484375,99249.3046875,139911.015625,107645.390625,100586.6171875,152283.84375,189009.75,165470.09375,137361.421875,184500.921875,174604.296875,157663.609375
Q96JJ3,ELMO2,Homo sapiens,127824.734375,121176.1328125,74198.890625,114979.34375,136653.171875,97099.2265625,71439.5546875,76990.421875,85752.078125,64048.2890625,67757.0859375,99504.7109375,111659.7734375,85242.3359375,83118.5234375,91256.25,96041.75,73174.65625
Q96JJ7,TMX3,Homo sapiens,873157.9375,994257.5,723666.125,924547,1036821.8125,854871.0625,1520930.5,1598383.375,1553598.5,1483552.625,1540533.25,1897347.125,1888510.25,1469873.875,1420291,1744446.75,1713621.875,1381279.125
Q96JK2,DCAF5,Homo sapiens,843874.75,980224.5,503605.0625,893836.75,1079481.75,470505.125,456015.53125,394121.5,469997.21875,413966.9375,447042.625,526761.125,649795.8125,466830.9375,340827.34375,671342.5,464629.125,370350.8125
Q96JM3,CHAMP1,Homo sapiens,747318.1875,805277.25,684193.8125,766060,906314.625,709394.5,601182.75,593631.625,613734.5625,682131.5,653533.5,711419.8125,699569.0625,525837.3125,516834.75,694263.125,606782.25,498505.53125
Q96JN8,NEURL4,Homo sapiens,56986.890625,64472.6953125,NaN,62703.08203125,76794.359375,58282.54296875,65120.4296875,63921.21484375,68243.734375,62371.20703125,62997.8828125,82855.7890625,68088.8046875,67030.4140625,66061.6484375,76216.4296875,72268.4140625,64073.29296875
Q96JP0,FEM1C,Homo sapiens,1165.9073486328125,1636.364501953125,NaN,1736.158447265625,NaN,1477.1044921875,2408.1845703125,NaN,NaN,1810.96484375,2827.392578125,NaN,2691.78466796875,NaN,NaN,2986.554931640625,NaN,NaN
Q96JP5,ZFP91,Homo sapiens,320989.09375,328837.21875,278555.53125,295445.03125,369478.875,299730.3125,324471.59375,360211,327627.84375,298470.09375,319100.28125,351387.5625,384140.15625,333013.1875,340016.21875,381043.3125,337108.09375,279010.84375
Q96JQ2,CLMN,Homo sapiens,196714.5625,173291.28125,167820.890625,213907.234375,246228.4375,171624.328125,199812.796875,181411.78125,222396.9375,216790.734375,206337.46875,280644.8125,77859.78125,78838.4765625,89786.9921875,NaN,67060.5546875,46592.29296875
Q96K17,BTF3L4,Homo sapiens,4024455.5,5967712.5,2523113.75,5466448.5,5402833.5,4228288,3788913.5,3844394,3271104.25,3787841.25,4031398.75,3653843,5133809,3449855.75,3678620.25,4171545.5,4814653.5,3268693.5
Q96K19,RNF170,Homo sapiens,176344.4375,175310.375,166584.328125,169374.0625,205085.3125,145820.875,89773.546875,90739.359375,97672.875,96361.8671875,98953.53125,122137.9375,125210.40625,89641.53125,101126.8046875,123366.578125,101177.421875,88598.1796875
Q96K21,ZFYVE19,Homo sapiens,1599617.25,1487085.5,1955405.625,1714379.875,2132669,1458473.625,977782.875,1201828.25,1405785,1153057.375,1219545.125,1742532.5,1979221.125,1279338.625,1164343.5,1795399.875,1287261.25,981250.125
Q96K37,SLC35E1,Homo sapiens,441812.21875,446309.59375,404885.375,450047.96875,523532.65625,377080.1875,225588.09375,229950.125,297865.59375,225020.203125,246062.078125,315889.53125,337812.0625,265548.21875,265418.84375,256871.546875,281965.90625,240119.28125
Q96K49,TMEM87B,Homo sapiens,76545.9453125,95270.4609375,48517.1640625,62191.58203125,79060.4921875,64067.36328125,86938.6640625,89173.8359375,60234.07421875,75699.453125,93435.8203125,102060.96875,101283.515625,77207.640625,121602.296875,85476.09375,103596.7109375,74901.375
Q96K58,ZNF668,Homo sapiens,195771.625,265628.46875,276660.65625,229014.109375,274890.40625,175966.484375,167598.96875,170069.578125,134023.90625,205276.765625,245353.8125,247475.875,201074.953125,157008.328125,185105.53125,159518.265625,205097.46875,126093.296875
Q96K76,USP47,Homo sapiens,807194.5625,835687.9375,647323.4375,773919.6875,927177.5625,621042.8125,576167,522530.96875,606327.625,560513.75,557629.375,691243,924731.8125,728380.375,602551.9375,871887.9375,738901.3125,574160.625
Q96KA5,CLPTM1L,Homo sapiens,1582688.625,1618142.375,1115680.75,1481859.125,1902729.125,990628.1875,2090954,2035713.5,2317881.25,2002990.75,2093203.375,2833907.5,1517188.625,1155272,1090851.125,1362174.625,1272685.5,952585.625
Q96KB5,PBK,Homo sapiens,1811926,2047322.875,1383479.75,1823328.375,2254645.75,1598170.875,1447756.625,1332891,1494197.125,1425289.75,1522842.5,1866435.125,1969588.125,1408656.75,1293654.25,1846893.375,1604966.25,1202725.75
Q96KC8,DNAJC1,Homo sapiens,349352.6875,391184.53125,298211.90625,369940.84375,395541.15625,274131.5625,293194.65625,283791.21875,305257.5625,282604.03125,307510.6875,379086.0625,288878.21875,216824.15625,215664.21875,266536.15625,252885.046875,205332.8125
Q96KE9,BTBD6,Homo sapiens,27723.5078125,30850.201171875,24053.98828125,25786.78125,36411.203125,16957.912109375,14375.4912109375,18275.064453125,23951.248046875,21983.318359375,16529.482421875,34938.328125,20102.9296875,26139.15234375,19924.86328125,9795.66015625,22019.3984375,21874.1640625
Q96KF7,SMIM8,Homo sapiens,NaN,NaN,NaN,NaN,7198.212890625,NaN,18523.32421875,12398.095703125,NaN,11107.5087890625,12705.7060546875,17578.392578125,NaN,NaN,NaN,NaN,NaN,NaN
Q96KG9,SCYL1,Homo sapiens,1182823.125,1336788.25,774391.25,1176349.875,1383593.5,809617.875,994266.9375,1004034.875,981425.9375,899840.0625,1083213.5,1244428.875,1235095,958334.5,961259.125,1158224.625,1079564.875,848087.3125
Q96KM6,ZNF512B,Homo sapiens,513376.9375,613413.9375,505971.375,529071,672098.9375,459144.1875,597355.6875,585622.125,559211.9375,564282.4375,614011,762104.9375,733690.625,537357.25,538321.5,701084.3125,584657.125,457478.75
Q96KN1,LRATD2,Homo sapiens,1440642.625,1396838.75,1032807,1326577.5,1607000.75,1088325.25,2093346.625,1943115.625,2097403.25,1938576.875,2157611,2541412,1323885,956715.5625,964939.1875,1248166.75,1073656.5,829318.6875
Q96KP1,EXOC2,Homo sapiens,1355081.875,1385898.125,1083164.5,1236105.625,1530094,975411.75,799671.25,651385.3125,766216.3125,681898.375,730870,1016257.75,1313685.375,971290.125,841758.0625,1279617.125,1002585.375,777354.25
Q96KP4,CNDP2,Homo sapiens,11095986,11801207,8303784.5,10705746,13413215,7578096.5,10478828,9862088,10831561,9814319,10279326,14533053,18357004,13642261,11618896,18649062,14973052,10997538
Q96KQ4,PPP1R13B,Homo sapiens,106872.859375,113004.8203125,85351.765625,111984.3515625,127622.625,96711.2265625,79027.9375,102636.0703125,77360.3828125,105667.203125,105866.2109375,111712.703125,148020.953125,103392.7265625,91629.265625,149352.3125,109178.75,75039.21875
Q96KQ7,EHMT2,Homo sapiens,437474.125,449526.84375,426609.875,391779.15625,486990.84375,302526.46875,419928.96875,421721.46875,376881.0625,379725.3125,395650.53125,501231.90625,444987.53125,357605,352004.40625,432930.25,372490.5,290759.96875
Q96KR1,ZFR,Homo sapiens,1268359.875,1326291.5,1036581.9375,1241744.125,1508450.75,1028356.4375,1312052.75,1212051.875,1172584.25,1200055.25,1387179.125,1633636,2141049.5,1554027.75,1589008.375,2099765.25,1729525.25,1359551.5
Q96KR6,FAM210B,Homo sapiens,70378.6875,95184.328125,63580.390625,64739.49609375,93491.109375,84401.796875,327400.15625,381417.71875,360118.34375,292070.8125,305156.34375,389360.9375,53440.79296875,39158.69921875,59469.76171875,23383.78125,43784.0703125,58024.859375
Q96L50,LRR1,Homo sapiens,50417.64453125,34614.921875,NaN,57085.3984375,71205.1328125,60895.90625,120107.671875,85633.1484375,100976.3203125,92097.84375,91117.515625,122509.828125,91982.2890625,77717,74020.40625,77711.9140625,106204.5859375,67275.8828125
Q96L58,B3GALT6,Homo sapiens,272980.125,284238.9375,225159.171875,265723.9375,323044.96875,230348.34375,203452.578125,181581.09375,238724.109375,186920.296875,201361.125,267220.0625,192501.140625,156677.109375,143442.828125,188487.203125,186987.0625,152555.328125
Q96L73,NSD1,Homo sapiens,112042.875,111745.6015625,100611.1484375,102766.4296875,111241.8125,99901.171875,136024.390625,128827.234375,138862.78125,143156.28125,155245.625,159037.015625,157642.03125,134863.71875,121394.7265625,149780.734375,146652.453125,116891.328125
Q96L91,EP400,Homo sapiens,289596.40625,297224.46875,278468.125,268896.15625,324585.78125,232420.90625,307066.4375,312769.25,314177.21875,294047.5625,295121.15625,391274,437034.6875,351541.21875,321495.0625,441676.4375,364304.4375,303238.0625
