"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"40","TAMR_DOWN","R-HSA-877300","Interferon gamma signaling","6/109","96/11009",0.00036937701043865,0.0200541555379931,0.017680153728498,"10437/960/2634/6772/10379/4940",6
"41","TAMR_DOWN","R-HSA-1614558","Degradation of cysteine and homocysteine","3/109","15/11009",0.000393935938007328,0.0200541555379931,0.017680153728498,"23474/7263/100131187",3
"42","TAMR_DOWN","R-HSA-202733","Cell surface interactions at the vascular wall","7/109","137/11009",0.000411205082009322,0.0200541555379931,0.017680153728498,"9123/7040/6520/6714/960/8140/961",7
"43","TAMR_DOWN","R-HSA-190840","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","3/109","18/11009",0.000691370098874429,0.0293564072018684,0.02588120907221,"10381/7280/84617",3
"44","TAMR_DOWN","R-HSA-9609736","Assembly and cell surface presentation of NMDA receptors","4/109","41/11009",0.000694552220864394,0.0293564072018684,0.02588120907221,"8825/10381/7280/84617",4
"45","TAMR_DOWN","R-HSA-190872","Transport of connexons to the plasma membrane","3/109","19/11009",0.000815108910932842,0.0322986905957139,0.0284751862964039,"10381/7280/84617",3
"46","TAMR_DOWN","R-HSA-112314","Neurotransmitter receptors and postsynaptic signal transmission","8/109","205/11009",0.000959360230465657,0.0342844962563881,0.0302259131863557,"8825/6714/6197/10381/7280/22843/84617/23236",8
"47","TAMR_DOWN","R-HSA-909733","Interferon alpha/beta signaling","5/109","77/11009",0.00097337686532332,0.0342844962563881,0.0302259131863557,"2634/6772/10379/10410/4940",5
"48","TAMR_DOWN","R-HSA-373760","L1CAM interactions","6/109","119/11009",0.00115107088569904,0.0366740666933565,0.032332607362066,"6714/3673/6197/10381/7280/84617",6
"49","TAMR_DOWN","R-HSA-438064","Post NMDA receptor activation events","5/109","80/11009",0.00115691062124153,0.0366740666933565,0.032332607362066,"6714/6197/10381/7280/84617",5
"50","TAMR_DOWN","R-HSA-389977","Post-chaperonin tubulin folding pathway","3/109","22/11009",0.0012677539665265,0.0382740959418,0.0337432258759684,"10381/7280/84617",3
"51","TAMR_DOWN","R-HSA-157858","Gap junction trafficking and regulation","4/109","49/11009",0.00136761471635203,0.039412169553054,0.0347465748508579,"6714/10381/7280/84617",4
"52","TAMR_DOWN","R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","3/109","24/11009",0.0016424033067515,0.0452732041948021,0.0399137828780341,"6279/6280/1535",3
"53","TAMR_DOWN","R-HSA-210991","Basigin interactions","3/109","25/11009",0.001853005486962,0.0469922191493564,0.0414293016242873,"9123/6520/8140",3
"54","TAMR_DOWN","R-HSA-389960","Formation of tubulin folding intermediates by CCT/TriC","3/109","25/11009",0.001853005486962,0.0469922191493564,0.0414293016242873,"10381/7280/84617",3
